Temp,Humidity,visibility,air_pressure,Wind_speed,Datetime
14°C,Rel.humidity:55%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,17/03/2022 23:01:09
14°C,Rel.humidity:55%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,17/03/2022 23:02:09
14°C,Rel.humidity:55%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,17/03/2022 23:03:09
14°C,Rel.humidity:55%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,17/03/2022 23:04:09
14°C,Rel.humidity:55%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,17/03/2022 23:05:09
14°C,Rel.humidity:55%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,17/03/2022 23:06:09
14°C,Rel.humidity:55%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,17/03/2022 23:07:09
14°C,Rel.humidity:55%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,17/03/2022 23:08:09
14°C,Rel.humidity:55%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,17/03/2022 23:09:09
14°C,Rel.humidity:55%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,17/03/2022 23:10:09
